ID Alumno,Taller 1,Taller 2,Taller 3,Actividad en línea 1,Actividad en línea 2,Actividad en línea 3,Prueba 1,Prueba 2,Prueba 3,Nota Presentación,Nota Examen,Nota Final
160002844,7,7,7,6.2,4.2,1.8,6.4,7,7,6.6,5.5,6.2
160002823,7,7,6.8,6.6,5,3.5,4.2,4.4,3.2,4.5,4.4,4.5
160002399,7,7,6.5,3.2,2.6,1.5,6.2,4.6,1.4,4.1,4.1,4.1
160003532,5.5,7,7,6,3.8,4.6,5,2.4,3.3,4.1,5.2,4.5
160002275,7,6.8,7,6.2,6.2,4,6.4,6.8,5.4,6.3,6.4,6.3
160001932,7,7,7,4,4.6,3.4,6.4,6.2,4.4,5.7,5.6,5.7
160002026,7,7,7,6.6,5.8,4.6,6.4,6.6,5.2,6.2,5.3,5.8
160000966,6.5,7,6.4,6.4,5,3.9,5.9,4.8,2.7,4.8,5.5,5.1
160001399,7,6.5,6.5,6.8,6.9,4.3,6.4,7,5.9,6.5,5.9,6.3
160001930,6.8,6.6,6.2,6.4,5.4,3.1,5.7,6.2,5.1,5.7,6.6,6.1
160000172,7,7,6.8,6.8,5.8,5.8,4.7,6.2,3.6,5.4,4.2,4.9
160001086,7,6.5,6.5,3.8,5.4,1.8,6.4,5.2,2.3,4.8,4.5,4.7
160000555,6.8,6.5,6.6,3.6,3,1.7,3.5,3.5,2,3.5,2.7,3.2
160002172,6.6,7,7,4.2,2.2,2.4,5.2,3.5,3.3,4.2,3.6,4
160003556,7,6.8,6.6,7,7,6.2,4.3,3.3,3,4.5,3.2,4
160000320,7,7,7,5.4,2.6,2.8,4.4,5.3,1.4,4.1,3.8,4
160001229,6.5,6.8,6,6.2,6.4,2.3,6.4,5.5,3.4,5.3,5.7,5.5
160000967,7,7,7,6.4,5.7,4.6,6.4,6.5,4.4,6,6.4,6.2
160001561,5.5,5,7,5,5,2,6,5,4.9,5.2,4.4,4.9
160002892,7,7,7,5.6,5,2.4,5.8,5.3,2,4.7,4.4,4.6
160000024,6.4,7,7,6.6,5.3,4.1,6.2,6.2,3.7,5.5,3.8,4.8
160000050,6.7,7,6.6,7,4.6,2.6,6.4,5.5,4.1,5.4,5.6,5.5
160003017,7,7,6.6,5.8,4.2,3.2,6.4,4.1,5.7,5.5,5.2,5.4
160003688,4.5,7,7,5.8,4.5,4.6,5.6,3.8,4.9,5,4.9,5
160003673,7,7,6.8,7,6.6,4.6,5.7,6.6,2.8,5.4,4.2,4.9
160001112,6.5,6.8,6,5.6,5.4,2.4,5.9,5.9,4,5.3,5.2,5.3
160001071,6,7,6.4,6.8,5.8,3.7,5.8,5,3,4.9,5.6,5.2
160000651,5.2,7,2.2,3.3,2,2,6.2,6.7,5,5.3,4.3,4.9
160003148,7,6.5,6.8,6,3.1,1.8,3.2,4.7,3.6,4.3,5.2,4.7
160000052,7,7,7,5.4,4.6,4.2,6.4,6.3,4.6,5.8,4.8,5.4
160003669,7,7,6.5,6,5.4,2.9,5.6,5.4,4.5,5.3,5.9,5.5
160003118,7,7,7,3.8,2.6,1.8,4.1,3.6,3.8,4.1,3.3,3.8
160003550,7,7,7,7,7,5,5.9,7,6,6.4,5.3,6
160003154,6.3,6.5,6.2,6,5.3,2.6,6.4,5,4.6,5.4,4.8,5.2
160000968,7,7,7,6.6,5.4,4.5,6.3,6.5,4.4,5.9,5.8,5.9
160000173,7,7,6.5,5.4,4.2,1.8,6.2,7,4.5,5.7,4.8,5.3
160002886,4,7,7,5,4.6,3,5.9,6.5,4.1,5.4,5.5,5.4
160001748,6.5,6.7,7,6.6,6.2,4.5,4,4.9,2.6,4.6,2.7,3.8
160003149,7,7,7,6.8,6.2,4,5.5,7,6.8,6.7,6.6,6.7
160002498,7,7,4,6.2,4.5,3.9,6.4,6.3,3,5.2,4.9,5.1
160003281,7,7,6.5,6,3,2.7,5.5,6.6,5.2,6,6.6,6.2
160000882,7,7,6.4,4.6,6.5,3.7,6.2,6.5,3,5.4,5.3,5.4
160003551,6.2,7,7,5.6,1.8,3.2,5.5,6.4,3.6,5.4,5.7,5.5
160002531,5,5,5,3.8,3.8,2.7,5.2,3.6,2.6,3.9,4.2,4
160003553,7,7,7,5.2,4.6,4.2,5.3,5.5,4.1,5.2,2.7,4.2
160000045,6.5,7,7,5.2,4.6,2.4,5.3,5.9,3.6,5.1,5.6,5.3
160002400,6.5,7,5.6,5.2,1.6,2.3,5.5,3.4,4,4.6,4.6,4.6
160001638,6,7,7,6.2,3.8,2.7,5.2,6.3,5.5,5.6,5.4,5.5
160002210,7,7,7,4.8,4.6,1.8,4,3,2.7,3.8,3.3,3.6
160003124,7,7,5.4,5.6,3.4,1.8,4.2,4.4,2.2,4,4.3,4.1
160000087,5.5,6,5,2.8,5.1,2.5,5.1,4.2,2.3,4,5.2,4.5
160003110,5.8,6,4,4.8,4.2,2.8,6.2,6,3.8,5.1,5.5,5.3
160001232,7,6.5,6,5.4,5,3.6,5.9,4.8,4.3,5.1,5.2,5.1
160001117,6.6,7,6.5,6.2,4.5,3.3,6,6.7,5.8,6,5.6,5.8
160002880,5,4.5,7,5.2,6.6,2.2,4.3,6.6,4.3,5.1,5.1,5.1
160002925,6.8,7,7,6.8,1.4,3.3,4,4.3,2,4,5,4.4
160000992,6,6.8,4.4,3.6,3,2.2,5.5,6.3,3,4.7,5.5,5
160000993,6.5,7,7,6.6,5.5,4.6,5.5,5.6,6.3,6.2,5.3,5.8
160001088,4.5,7,7,6.4,3.5,1.9,5.5,2.6,3.9,4.2,5,4.5
160001486,6.5,6.7,7,6.6,4.8,3.7,5.8,6.6,5.9,6.1,6.6,6.3
160001147,5.7,7,3,5.6,3,2,4.5,3.6,3.8,4.1,4.9,4.4
160000459,6.8,7,7,5.4,2.2,1.8,6,4.5,2.2,4.4,2.6,3.7
160002743,1.5,6.8,5,5.6,3.4,2.4,4.9,4.3,2.4,3.9,4.4,4.1
160000765,7,5,7,5.4,4.6,2.2,1.6,4.2,3.3,3.9,3.4,3.7
160003321,5.5,5.7,6.2,6.6,4.6,3.2,5.3,5.2,5,5.2,5.6,5.4
160001726,5.5,5.5,4.4,4,3,3.4,5.9,4.9,4.2,4.7,6,5.2
160001592,4,7,5.8,4.2,5.1,1.8,5.2,3,1.9,3.7,3.7,3.7
160003468,6.3,6.8,6.6,7,4.6,4.6,6.3,5.9,5,5.8,5,5.5
160000043,6,7,5.8,5.8,5,3.1,6,3.8,2.5,4.4,4.8,4.6
160000814,7,7,7,5,5.1,3,5.5,6.1,4.8,5.8,4.8,5.4
160003138,7,7,6.6,7,7,5.6,4.8,5.7,3.1,5.2,5.2,5.2
160001218,6.3,7,6.4,4.4,4.9,2.9,6,5.4,3.7,5.1,5.4,5.2
160003146,7,2.5,5.4,6.6,5.4,3.9,5.8,4,3.7,4.6,4.9,4.7
160000554,5.5,7,5.6,6.6,4.7,3.6,2,2.4,1.1,3,3.3,3.1
160000277,3.5,5.5,6.5,5,3,2.2,5.5,4.1,4.1,4.7,4.1,4.5
160002409,6,7,7,6.6,3.1,2.2,5.5,3.2,4.6,4.6,5.3,4.9
160001881,7,7,6.2,7,6.9,4.9,5.5,7,6.6,6.8,6.6,6.7
160002824,6,6.8,5.8,7,6.5,3.4,5.5,6.6,4.6,5.9,6.1,6
160002889,2.6,5.7,6.2,5.4,2.6,1.8,5.5,5.1,3.2,4.7,5.7,5.1
160000084,6.5,7,5.6,4.4,2.6,1.9,4.4,2.9,3.4,3.9,5.3,4.5
160002840,6.6,7,6.5,7,6.9,5.8,5.5,6.9,6.7,6.7,6.4,6.6
160001937,7,7,6.5,5,3.1,2.1,3.3,4,1.8,3.6,5,4.2
160003207,5.6,7,7,6.6,6.9,5.2,5.5,6.4,4.4,6,5.9,6
160002038,7,7,7,5.2,2.8,2.5,5.5,5.5,6.7,6,6.4,6.2
160001623,7,7,7,2,3,2.8,4.7,4.8,2.4,4.2,4,4.1
160000484,7,6.5,7,7,5.8,2.2,5.5,6.3,4.1,5.8,5.9,5.8
160001732,6.5,7,6.2,6.8,4,1.2,5.1,5.8,2.9,4.8,5.3,5
160001789,6,7,7,4.2,5.3,3.6,6.3,6.1,3,5.2,5.3,5.2
160002070,6.8,7,6.5,3.4,5,4.1,2.4,3.9,4,4.1,3.5,3.9
160001554,6.5,7,5.6,2.8,3,1.5,3.8,4.7,2.5,3.9,3.3,3.7
160003094,6.5,7,7,7,6.2,4.8,6.3,6.7,5.3,6.2,6.5,6.3
160003174,7,7,3.5,6.6,4.1,2.4,5.5,6.4,6.2,6,5.8,5.9
160003204,7,7,7,7,6.1,4.9,5.5,6.7,5.6,6.3,6.4,6.3
160001882,7,7,6.2,7,6.9,6.1,5.6,6.8,3.3,5.7,5.3,5.5
160000346,7,7,5.1,6.2,4.2,2.7,6,6.4,4,5.4,6.7,5.9
160003092,7,6.7,7,7,7,7,5.5,7,6,6.7,5.8,6.3
160000650,6.3,4.2,7,2.6,2.8,1.4,4,3.8,4.2,4,4.5,4.2
160003666,7,7,6.4,6.6,5.4,2.6,6.1,6.5,5.2,5.9,6,5.9
